期号,日期,中奖号码,特别号码,上期出现号码,小,大,单数,双数,1-10,11-20,21-30,31-40,41-50
25/049,2025-05-03,"18,20,30,35,47,49",44,47,2,4,3,3,0,2,1,1,2
25/048,2025-05-01,"4,7,21,32,41,47",28,"21,32",3,3,4,2,2,0,1,1,2
25/047,2025-04-29,"20,21,24,30,32,38",47,21,3,3,1,5,0,1,3,2,0
25/046,2025-04-26,"11,15,18,21,29,40",8,21,4,2,4,2,0,3,2,1,0
25/045,2025-04-24,"12,16,21,35,44,48",32,,3,3,2,4,0,2,1,1,2
25/044,2025-04-22,"3,7,11,20,23,27",29,11,5,1,5,1,2,2,2,0,0
25/043,2025-04-19,"1,11,24,37,45,49",22,,3,3,5,1,1,1,1,1,2
25/042,2025-04-15,"10,20,21,22,23,42",49,21,5,1,2,4,1,1,3,0,1
25/041,2025-04-12,"19,21,34,36,47,49",14,,2,4,4,2,0,1,1,2,2
25/040,2025-04-10,"11,22,23,26,32,35",2,11,3,3,3,3,0,1,3,2,0
25/039,2025-04-08,"11,17,20,27,36,48",21,11,3,3,3,3,0,3,1,1,1
25/038,2025-04-05,"7,11,22,26,39,44",8,7,3,3,3,3,1,1,2,1,1
25/037,2025-04-03,"2,4,7,29,32,40",44,,3,3,2,4,3,0,1,2,0
25/036,2025-04-01,"6,14,17,30,35,42",49,,3,3,2,4,1,2,1,1,1
25/035,2025-03-29,"3,5,12,13,45,47",46,47,4,2,5,1,2,2,0,0,2
25/034,2025-03-27,"10,19,35,44,47,49",15,,2,4,4,2,1,1,0,1,3
25/033,2025-03-25,"8,11,17,36,43,48",25,36,3,3,3,3,1,2,0,1,2
25/032,2025-03-22,"12,23,24,27,36,46",43,24,3,3,2,4,0,1,3,1,1
25/031,2025-03-20,"16,20,21,24,39,43",34,24,4,2,3,3,0,2,2,1,1
25/030,2025-03-18,"6,8,24,26,29,45",39,29,3,3,2,4,2,0,3,0,1
25/029,2025-03-16,"29,30,36,41,48,49",14,29,0,6,3,3,0,0,2,1,3
25/028,2025-03-13,"4,16,19,21,26,29",13,"4,21",4,2,3,3,1,2,3,0,0
25/027,2025-03-11,"1,4,9,14,21,37",45,,5,1,4,2,3,1,1,1,0
25/026,2025-03-08,"19,25,26,29,32,39",4,"19,39",1,5,4,2,0,1,3,2,0
25/025,2025-03-06,"4,11,19,20,30,39",45,,4,2,3,3,1,3,1,1,0
25/024,2025-03-04,"1,9,14,38,42,43",23,42,3,3,3,3,2,1,0,1,2
25/023,2025-03-01,"4,15,22,25,29,42",1,"15,25",3,3,3,3,1,1,3,0,1
25/022,2025-02-27,"7,11,15,17,25,28",9,11,4,2,5,1,1,3,2,0,0
25/021,2025-02-25,"1,2,6,11,40,47",32,,4,2,3,3,3,1,0,1,1
25/020,2025-02-22,"14,15,20,27,41,44",33,"20,27,41,44",3,3,3,3,0,3,1,0,2
25/019,2025-02-20,"13,20,22,27,41,44",36,13,3,3,3,3,0,2,2,0,2
25/018,2025-02-18,"3,7,13,35,37,39",23,,3,3,6,0,2,1,0,3,0
25/017,2025-02-15,"1,8,21,25,29,34",4,29,3,3,4,2,2,0,3,1,0
25/016,2025-02-13,"5,26,29,32,42,45",36,"5,26",1,5,3,3,1,0,2,1,2
25/015,2025-02-11,"5,15,20,26,30,40",39,,3,3,2,4,1,2,2,1,0
25/014,2025-02-08,"1,7,21,27,33,45",17,"1,45",3,3,6,0,2,0,2,1,1
25/013,2025-02-06,"1,4,18,25,38,45",23,18,3,3,3,3,2,1,1,1,1
25/012,2025-02-04,"3,13,15,18,19,24",37,18,6,0,4,2,1,4,1,0,0
25/011,2025-02-02,"14,18,30,36,40,42",1,"14,36",2,4,0,6,0,2,1,2,1
25/010,2025-01-25,"7,14,19,31,36,45",24,,3,3,4,2,1,2,0,2,1
25/009,2025-01-23,"3,6,24,25,34,37",45,,3,3,3,3,2,0,2,2,0
25/008,2025-01-21,"16,22,33,43,48,49",8,,2,4,3,3,0,1,1,1,3
25/007,2025-01-18,"3,4,6,12,18,32",28,"3,4",5,1,1,5,3,2,0,1,0
25/006,2025-01-16,"1,3,4,19,38,45",39,3,4,2,4,2,3,1,0,1,1
25/005,2025-01-14,"3,5,11,12,18,48",6,,5,1,3,3,2,3,0,0,1
25/004,2025-01-11,"8,15,26,27,30,35",2,35,2,4,3,3,1,1,3,1,0
25/003,2025-01-09,"1,19,28,33,35,41",11,,2,4,5,1,1,1,1,2,1
25/002,2025-01-07,"8,13,18,23,31,47",16,23,4,2,4,2,1,2,1,1,1
25/001,2025-01-02,"9,23,42,44,45,46",22,,2,4,3,3,1,0,1,0,4
24/140,2024-12-28,"1,3,5,18,26,35",14,18,4,2,4,2,3,1,1,1,0
24/139,2024-12-24,"8,11,18,23,25,41",45,23,4,2,4,2,1,2,2,0,1
24/138,2024-12-21,"14,20,21,22,23,30",18,,5,1,2,4,0,2,4,0,0
24/137,2024-12-19,"1,2,3,36,37,41",10,,3,3,4,2,3,0,0,2,1
24/136,2024-12-17,"9,11,23,26,30,48",28,,3,3,3,3,1,1,3,0,1
24/135,2024-12-14,"1,16,18,36,37,46",38,"16,37",3,3,2,4,1,2,0,2,1
24/134,2024-12-12,"10,14,16,21,37,49",22,,4,2,3,3,1,2,1,1,1
24/133,2024-12-10,"3,18,24,33,43,44",4,"18,33",3,3,3,3,1,1,1,1,2
24/132,2024-12-07,"1,15,18,33,34,39",22,,3,3,4,2,1,2,0,3,0
24/131,2024-12-05,"5,12,27,29,38,40",22,,2,4,3,3,1,1,2,2,0
24/130,2024-12-03,"2,13,15,17,22,28",23,,5,1,3,3,1,3,2,0,0
24/129,2024-11-30,"10,14,23,24,33,41",38,33,4,2,3,3,1,1,2,1,1
24/128,2024-11-28,"9,15,26,32,33,44",1,44,2,4,3,3,1,1,1,2,1
24/127,2024-11-26,"8,11,12,28,29,44",34,,3,3,2,4,1,2,2,0,1
24/126,2024-11-23,"1,2,7,14,15,25",35,"1,14",5,1,4,2,3,2,1,0,0
24/125,2024-11-21,"1,3,6,14,32,34",12,32,4,2,2,4,3,1,0,2,0
24/124,2024-11-19,"19,32,36,38,39,47",29,"19,38",1,5,3,3,0,1,0,4,1
24/123,2024-11-16,"1,3,7,19,31,38",23,,4,2,5,1,3,1,0,2,0
24/122,2024-11-14,"8,14,20,28,36,39",30,,3,3,1,5,1,2,1,2,0
24/121,2024-11-12,"5,13,22,27,45,46",7,27,3,3,4,2,1,1,2,0,2
24/120,2024-11-10,"3,20,24,27,30,42",17,,3,3,2,4,1,1,3,0,1
24/119,2024-11-07,"11,17,33,36,40,44",2,11,2,4,3,3,0,2,0,3,1
24/118,2024-11-05,"7,11,13,24,27,31",35,,4,2,5,1,1,2,2,1,0
24/117,2024-11-02,"14,16,25,40,41,45",27,16,2,4,3,3,0,2,1,1,2
24/116,2024-10-31,"7,13,16,22,23,31",6,13,5,1,4,2,1,2,2,1,0
24/115,2024-10-28,"5,6,13,15,36,49",23,"13,49",4,2,4,2,2,2,0,1,1
24/114,2024-10-22,"13,21,28,30,41,49",3,,2,4,4,2,0,1,3,0,2
24/113,2024-10-17,"11,17,22,26,33,46",35,,3,3,3,3,0,2,2,1,1
24/112,2024-10-15,"19,36,37,43,44,49",8,19,1,5,4,2,0,1,0,2,3
24/111,2024-10-12,"4,8,9,19,20,48",21,48,5,1,2,4,3,2,0,0,1
24/110,2024-10-10,"10,33,35,40,44,48",6,"10,40",1,5,2,4,1,0,0,3,2
24/109,2024-10-08,"10,16,24,32,37,40",19,32,3,3,1,5,1,1,1,3,0
24/108,2024-10-02,"8,15,21,32,43,47",41,,3,3,4,2,1,1,1,1,2
24/107,2024-09-26,"2,4,29,35,38,49",14,49,2,4,3,3,2,0,1,2,1
24/106,2024-09-24,"9,17,28,31,40,49",25,,2,4,4,2,1,1,1,2,1
24/105,2024-09-21,"2,3,14,25,27,36",45,,3,3,3,3,2,1,2,1,0
24/104,2024-09-19,"5,18,21,24,44,47",20,"5,18,21,24,44",4,2,3,3,1,1,2,0,2
24/103,2024-09-17,"5,18,21,24,27,44",10,18,4,2,3,3,1,1,3,0,1
24/102,2024-09-12,"14,18,20,25,32,43",45,20,3,3,2,4,0,3,1,1,1
24/101,2024-09-10,"1,12,16,20,21,30",27,,5,1,2,4,1,3,2,0,0
24/100,2024-09-07,"5,24,26,32,35,40",16,,2,4,2,4,1,0,2,3,0
24/099,2024-09-03,"2,3,7,25,46,48",13,2,3,3,3,3,3,0,1,0,2
24/098,2024-08-31,"2,21,34,36,41,47",31,,2,4,3,3,1,0,1,2,2
24/097,2024-08-29,"6,7,18,24,28,29",1,,4,2,2,4,2,1,3,0,0
24/096,2024-08-27,"2,15,23,33,34,39",19,15,3,3,4,2,1,1,1,3,0
24/095,2024-08-24,"9,15,19,28,31,41",42,9,3,3,5,1,1,2,1,1,1
24/094,2024-08-22,"8,9,16,21,32,33",34,16,4,2,3,3,2,1,1,2,0
24/093,2024-08-20,"1,4,16,26,39,49",7,26,3,3,3,3,2,1,1,1,1
24/092,2024-08-17,"6,13,19,21,26,28",9,,4,2,3,3,1,2,3,0,0
24/091,2024-08-15,"3,16,33,35,39,44",8,35,2,4,4,2,1,1,0,3,1
24/090,2024-08-13,"7,9,20,21,30,35",26,"21,35",4,2,4,2,2,1,2,1,0
24/089,2024-08-10,"8,12,21,35,44,45",2,8,3,3,3,3,1,1,1,1,2
24/088,2024-08-08,"3,6,7,8,11,29",49,"3,7",5,1,4,2,4,1,1,0,0
24/087,2024-08-06,"3,4,7,13,27,41",38,,4,2,5,1,3,1,1,0,1
24/086,2024-08-03,"5,6,8,22,26,44",40,,4,2,1,5,3,0,2,0,1
24/085,2024-08-01,"2,9,16,39,43,46",20,,3,3,3,3,2,1,0,1,2
24/084,2024-07-30,"6,7,17,20,21,25",26,,5,1,4,2,2,2,2,0,0
24/083,2024-07-25,"3,16,18,26,43,45",9,,3,3,3,3,1,2,1,0,2
24/082,2024-07-23,"12,13,24,25,27,34",4,,3,3,3,3,0,2,3,1,0
24/081,2024-07-20,"17,18,31,33,39,41",14,18,2,4,5,1,0,2,0,3,1
24/080,2024-07-18,"11,12,18,28,29,30",39,11,3,3,2,4,0,3,3,0,0
24/079,2024-07-16,"11,13,17,34,40,47",21,17,3,3,4,2,0,3,0,2,1
24/078,2024-07-13,"17,21,24,27,29,48",8,29,3,3,4,2,0,1,4,0,1
24/077,2024-07-11,"8,20,29,33,34,44",12,,2,4,2,4,1,1,1,2,1
24/076,2024-07-09,"18,25,30,35,36,40",44,,1,5,2,4,0,1,2,3,0
24/075,2024-07-07,"1,2,17,27,34,41",22,27,3,3,4,2,2,1,1,1,1
24/074,2024-07-02,"5,8,15,21,27,37",2,21,4,2,5,1,2,1,2,1,0
24/073,2024-06-29,"7,21,29,30,36,46",42,30,2,4,3,3,1,0,3,1,1
24/072,2024-06-27,"2,17,24,30,32,40",16,"30,40",3,3,1,5,1,1,2,2,0
24/071,2024-06-25,"21,30,34,40,48,49",16,"34,49",1,5,2,4,0,0,2,2,2
24/070,2024-06-22,"18,25,28,34,42,49",14,42,1,5,2,4,0,1,2,1,2
24/069,2024-06-20,"14,21,26,27,42,46",45,,2,4,2,4,0,1,3,0,2
24/068,2024-06-18,"9,16,31,33,38,48",23,,2,4,3,3,1,1,0,3,1
24/067,2024-06-16,"3,7,13,17,21,49",4,,5,1,6,0,2,2,1,0,1
24/066,2024-06-13,"1,5,15,19,25,39",46,19,4,2,6,0,2,2,1,1,0
24/065,2024-06-09,"6,9,12,17,19,42",13,"6,19",5,1,3,3,2,3,0,0,1
24/064,2024-06-04,"6,11,19,21,27,43",44,6,4,2,5,1,1,2,2,0,1
24/063,2024-06-01,"6,18,28,33,36,48",11,,2,4,1,5,1,1,1,2,1
24/062,2024-05-30,"1,24,25,27,30,32",13,,2,4,3,3,1,0,4,1,0
24/061,2024-05-28,"33,37,38,43,44,46",32,"37,46",0,6,3,3,0,0,0,3,3
24/060,2024-05-25,"7,26,30,37,46,49",25,,1,5,3,3,1,0,2,1,2
24/059,2024-05-23,"5,9,18,21,36,40",13,40,4,2,3,3,2,1,1,2,0
24/058,2024-05-21,"2,3,4,15,37,40",8,,4,2,3,3,3,1,0,2,0
24/057,2024-05-18,"8,17,19,27,33,45",37,,3,3,5,1,1,2,1,1,1
24/056,2024-05-16,"21,32,40,43,44,49",1,49,1,5,3,3,0,0,1,2,3
24/055,2024-05-14,"14,37,38,41,45,49",5,41,1,5,4,2,0,1,0,2,3
24/054,2024-05-12,"3,9,25,30,36,41",19,,2,4,4,2,2,0,2,1,1
24/053,2024-05-09,"5,14,15,18,23,48",13,,5,1,3,3,1,3,1,0,1
24/052,2024-05-07,"8,19,27,30,36,42",2,30,2,4,2,4,1,1,2,1,1
24/051,2024-05-04,"1,3,7,21,28,30",45,21,4,2,4,2,3,0,3,0,0
24/050,2024-05-02,"6,18,21,39,42,46",17,39,3,3,2,4,1,1,1,1,2
24/049,2024-04-30,"11,12,28,35,37,39",30,28,2,4,4,2,0,2,1,3,0
24/048,2024-04-27,"9,18,28,40,47,48",23,,2,4,2,4,1,1,1,1,2
24/047,2024-04-25,"3,17,25,32,36,38",46,,2,4,3,3,1,1,1,3,0
24/046,2024-04-23,"5,6,16,27,37,47",24,27,3,3,4,2,2,1,1,1,1
24/045,2024-04-21,"7,8,10,12,17,27",25,17,5,1,3,3,3,2,1,0,0
24/044,2024-04-18,"17,25,26,30,38,48",28,17,1,5,2,4,0,1,3,1,1
24/043,2024-04-16,"12,14,17,18,23,44",27,"12,14,17",5,1,2,4,0,4,1,0,1
24/042,2024-04-13,"6,10,12,14,17,41",47,,5,1,2,4,2,3,0,0,1
24/041,2024-04-11,"2,7,9,13,33,35",49,13,4,2,5,1,3,1,0,2,0
24/040,2024-04-09,"13,20,29,30,34,48",3,"30,34",2,4,2,4,0,2,2,1,1
24/039,2024-04-06,"15,16,17,30,34,35",25,,3,3,3,3,0,3,1,2,0
24/038,2024-04-04,"4,8,12,22,24,26",1,,5,1,0,6,2,1,3,0,0
24/037,2024-04-02,"16,25,31,42,43,44",7,,1,5,3,3,0,1,1,1,3
24/036,2024-03-30,"2,6,18,22,36,39",21,"2,39",4,2,1,5,2,1,1,2,0
24/035,2024-03-28,"2,9,15,20,39,48",43,,4,2,3,3,2,2,0,1,1
24/034,2024-03-26,"6,11,12,18,24,42",38,"11,18,24,42",5,1,1,5,1,3,1,0,1
24/033,2024-03-23,"11,18,24,35,42,46",3,42,3,3,2,4,0,2,1,1,2
24/032,2024-03-21,"6,19,20,34,39,42",44,,3,3,2,4,1,2,0,2,1
24/031,2024-03-19,"7,8,29,30,36,48",28,8,2,4,2,4,2,0,2,1,1
24/030,2024-03-17,"1,8,13,23,40,44",15,23,4,2,3,3,2,1,1,1,1
24/029,2024-03-14,"6,23,24,31,34,49",1,24,3,3,3,3,1,0,2,2,1
24/028,2024-03-12,"13,16,18,24,32,43",44,32,4,2,2,4,0,3,1,1,1
24/027,2024-03-09,"4,5,8,21,32,42",45,"5,32",4,2,2,4,3,0,1,1,1
24/026,2024-03-07,"5,22,30,31,32,39",44,39,2,4,3,3,1,0,2,3,0
24/025,2024-03-05,"11,24,34,36,39,42",38,,2,4,2,4,0,1,1,3,1
24/024,2024-03-02,"7,23,31,35,43,46",10,,2,4,5,1,1,0,1,2,2
24/023,2024-02-29,"5,13,16,36,39,41",38,,3,3,4,2,1,2,0,2,1
24/022,2024-02-27,"3,11,12,22,24,26",21,24,5,1,2,4,1,2,3,0,0
24/021,2024-02-24,"2,7,24,29,30,36",6,,3,3,2,4,2,0,3,1,0
24/020,2024-02-22,"22,25,33,34,35,39",5,,1,5,4,2,0,0,2,4,0
24/019,2024-02-20,"10,26,27,29,30,45",37,"26,27",1,5,3,3,1,0,4,0,1
24/018,2024-02-17,"9,23,26,27,36,41",24,,2,4,4,2,1,0,3,1,1
24/017,2024-02-14,"10,12,13,24,25,48",15,25,4,2,2,4,1,2,2,0,1
24/016,2024-02-08,"5,7,9,20,22,25",13,,5,1,4,2,3,1,2,0,0
24/015,2024-02-06,"15,18,19,38,41,49",22,,3,3,4,2,0,3,0,1,2
24/014,2024-02-03,"3,7,21,32,36,47",23,,3,3,4,2,2,0,1,2,1
24/013,2024-02-01,"4,12,15,23,24,31",43,,5,1,3,3,1,2,2,1,0
24/012,2024-01-30,"8,20,21,29,30,49",32,8,3,3,3,3,1,1,3,0,1
24/011,2024-01-27,"1,8,13,19,34,47",12,,4,2,4,2,2,2,0,1,1
24/010,2024-01-25,"2,5,15,32,45,49",19,2,3,3,4,2,2,1,0,1,2
24/009,2024-01-23,"2,6,7,14,30,43",15,43,4,2,2,4,3,1,1,0,1
24/008,2024-01-20,"3,25,31,40,43,48",45,,1,5,4,2,1,0,1,2,2
24/007,2024-01-18,"2,10,17,46,47,49",3,47,3,3,3,3,2,1,0,0,3
24/006,2024-01-16,"1,6,8,27,41,47",29,,3,3,4,2,3,0,1,0,2
24/005,2024-01-14,"3,17,18,36,38,39",21,"3,38",3,3,3,3,1,2,0,3,0
24/004,2024-01-11,"3,6,8,26,29,38",1,3,3,3,2,4,3,0,2,1,0
24/003,2024-01-09,"3,9,16,19,33,35",39,33,4,2,5,1,2,2,0,2,0
24/002,2024-01-06,"1,4,24,31,33,34",2,34,3,3,3,3,2,0,1,3,0
24/001,2024-01-03,"2,3,19,34,37,46",32,19,3,3,3,3,2,1,0,2,1
23/146,2023-12-30,"5,8,19,25,41,48",24,,3,3,4,2,2,1,1,0,2
23/145,2023-12-28,"11,18,27,29,34,45",28,,2,4,4,2,0,2,2,1,1
23/144,2023-12-24,"2,8,16,19,37,49",20,49,4,2,3,3,2,2,0,1,1
23/143,2023-12-21,"1,10,12,33,46,49",32,"33,46",3,3,3,3,2,1,0,1,2
23/142,2023-12-19,"4,9,13,33,35,46",6,4,3,3,4,2,2,1,0,2,1
23/141,2023-12-14,"3,4,11,37,44,48",36,3,3,3,3,3,2,1,0,1,2
23/140,2023-12-12,"3,10,20,24,27,42",45,3,4,2,2,4,2,1,2,0,1
23/139,2023-12-09,"2,3,4,31,46,49",34,,3,3,3,3,3,0,0,1,2
23/138,2023-12-07,"27,28,37,38,43,45",40,38,0,6,4,2,0,0,2,2,2
23/137,2023-12-05,"9,16,23,38,39,41",19,38,3,3,4,2,1,1,1,2,1
23/136,2023-12-02,"3,17,30,36,38,45",8,36,2,4,3,3,1,1,1,2,1
23/135,2023-11-30,"7,12,32,34,36,39",5,,2,4,2,4,1,1,0,4,0
23/134,2023-11-28,"3,14,20,30,38,42",13,,3,3,1,5,1,2,1,1,1
23/133,2023-11-25,"2,8,12,28,34,47",7,28,3,3,1,5,2,1,1,1,1
23/132,2023-11-23,"11,16,24,27,28,32",48,11,3,3,2,4,0,2,3,1,0
23/131,2023-11-21,"9,11,15,17,19,44",7,,5,1,5,1,1,4,0,0,1
23/130,2023-11-18,"6,25,29,30,34,35",20,,1,5,3,3,1,0,3,2,0
23/129,2023-11-16,"3,5,8,16,26,33",24,,4,2,3,3,3,1,1,1,0
23/128,2023-11-14,"2,15,27,36,37,48",23,37,2,4,3,3,1,1,1,2,1
23/127,2023-11-12,"19,26,32,34,37,44",11,,1,5,2,4,0,1,1,3,1
23/126,2023-11-09,"1,4,18,25,30,49",15,49,3,3,3,3,2,1,2,0,1
23/125,2023-11-07,"7,16,26,31,47,49",44,16,2,4,4,2,1,1,1,1,2
23/124,2023-11-04,"2,13,16,28,40,44",46,,3,3,1,5,1,2,1,1,1
23/123,2023-11-02,"3,14,32,37,43,47",26,,2,4,4,2,1,1,0,2,2
23/122,2023-10-31,"4,33,35,36,41,49",1,33,1,5,4,2,1,0,0,3,2
23/121,2023-10-26,"11,16,27,32,33,37",24,,2,4,4,2,0,2,1,3,0
23/120,2023-10-24,"19,20,29,45,48,49",8,,2,4,4,2,0,2,1,0,3
23/119,2023-10-21,"6,8,12,31,32,46",4,32,3,3,1,5,2,1,0,2,1
23/118,2023-10-19,"1,13,18,32,34,49",44,"18,34",3,3,3,3,1,2,0,2,1
23/117,2023-10-17,"8,18,24,34,41,42",31,42,3,3,1,5,1,1,1,1,2
23/116,2023-10-14,"1,29,31,42,47,48",40,31,1,5,4,2,1,0,1,1,3
23/115,2023-10-12,"2,13,23,28,30,31",3,23,3,3,3,3,1,1,3,1,0
23/114,2023-10-10,"1,12,22,23,34,39",30,12,4,2,3,3,1,1,2,2,0
23/113,2023-10-07,"4,9,12,36,43,47",26,,3,3,3,3,2,1,0,1,2
23/112,2023-10-05,"2,11,20,29,41,49",45,,3,3,4,2,1,2,1,0,2
23/111,2023-10-03,"8,16,32,39,40,43",29,8,2,4,2,4,1,1,0,3,1
23/110,2023-09-30,"6,8,11,26,35,47",1,,3,3,3,3,2,1,1,1,1
23/109,2023-09-28,"9,12,30,31,45,48",46,,2,4,3,3,1,1,1,1,2
23/108,2023-09-23,"3,27,28,35,44,46",12,"28,46",1,5,3,3,1,0,2,1,2
23/107,2023-09-21,"1,10,22,28,33,46",37,10,3,3,2,4,2,0,2,1,1
23/106,2023-09-19,"8,9,10,27,35,38",46,10,3,3,3,3,3,0,1,2,0
23/105,2023-09-16,"10,24,34,40,41,45",35,,2,4,2,4,1,0,1,2,2
23/104,2023-09-14,"17,27,30,31,32,38",11,"30,32",1,5,3,3,0,1,2,3,0
23/103,2023-09-12,"4,10,12,16,30,32",14,"4,32",4,2,0,6,2,2,1,1,0
23/102,2023-09-09,"4,6,19,32,39,42",34,,3,3,2,4,2,1,0,2,1
23/101,2023-09-07,"20,22,24,25,29,49",36,"20,24",3,3,3,3,0,1,4,0,1
23/100,2023-09-05,"2,5,20,24,27,32",12,20,4,2,2,4,2,1,2,1,0
23/099,2023-09-03,"15,20,25,39,45,48",28,15,2,4,4,2,0,2,1,1,2
23/098,2023-08-31,"10,15,17,21,40,44",12,,4,2,3,3,1,2,1,1,1
23/097,2023-08-29,"3,6,7,33,36,46",4,46,3,3,3,3,3,0,0,2,1
